index,salt-9gpl-freq-131khz,salt-13gpl-freq-131khz,salt-17gpl-freq-131khz,salt-21gpl-freq-131khz,salt-24gpl-freq-131khz,salt-28gpl-freq-131khz,salt-32gpl-freq-131khz,salt-36gpl-freq-131khz,salt-40gpl-freq-131khz
1060,455,455,455,480,463,480,480,512,480
1061,513,512,512,512,512,512,512,543,512
1062,624,575,572,568,561,568,561,575,543
1063,639,639,624,608,608,608,608,575,575
1064,575,575,572,568,570,568,561,511,563
1065,511,527,511,511,511,511,527,508,511
1066,483,496,496,499,504,499,504,504,504
1067,512,512,512,512,512,512,512,512,512
1068,496,504,504,508,504,508,504,508,504
1069,496,504,504,512,504,504,504,496,504
1070,480,480,481,483,483,483,481,486,483
1071,483,483,487,487,496,496,496,496,496
1072,496,496,496,496,512,496,504,512,512
1073,527,527,526,519,527,519,526,527,519
1074,527,527,527,527,527,526,527,526,526
1075,536,527,527,527,526,527,527,511,524
1076,496,510,511,511,508,511,511,480,511
1077,448,455,480,480,480,480,480,463,480
1078,480,455,463,463,480,480,480,526,480
1079,608,561,560,543,543,543,543,624,543
1080,712,671,639,639,639,639,639,639,632
1081,639,639,639,639,639,636,632,575,624
1082,575,575,575,575,575,572,574,511,572
1083,451,483,487,496,496,487,496,448,496
1084,384,387,399,414,414,415,415,448,448
1085,448,415,448,448,448,448,448,512,448
1086,568,527,527,527,527,527,527,575,519
1087,639,639,632,624,624,608,611,611,575
1088,632,632,624,608,609,608,608,543,575
1089,511,543,511,511,543,511,511,480,543
1090,399,448,448,448,448,448,448,415,455
1091,384,387,399,414,415,415,415,448,448
1092,448,415,448,448,448,448,448,512,448
1093,540,512,519,518,519,519,519,560,512
1094,575,575,575,574,575,568,575,543,543
1095,543,543,543,543,543,543,543,527,543
1096,543,543,542,540,540,527,527,560,527
1097,608,575,575,575,572,569,568,560,568
1098,543,561,543,543,543,543,543,497,543
1099,448,480,480,480,480,480,480,415,483
1100,319,384,384,391,391,399,399,391,412
1101,384,384,384,387,391,391,399,448,399
1102,463,448,451,455,463,455,463,540,462
1103,608,575,572,574,572,568,568,608,543
1104,639,639,624,632,624,624,608,608,608
1105,632,624,608,608,608,575,575,568,575
1106,543,560,543,543,543,543,543,480,543
