index,time,dive-temperature,dive-depth,dive-speed
918,2025-12-12 09:51:25.579834+00:00,24.06,42.573,0.07633333333333543
918,2025-12-12 09:51:25.579834+00:00,24.0,42.598,0.00833333333333286
918,2025-12-12 09:51:25.579834+00:00,23.87,42.684,0.028666666666666174
918,2025-12-12 09:51:25.579834+00:00,23.87,41.708999999999996,-0.32500000000000046
919,2025-12-12 09:51:46.320341+00:00,23.95,40.98,-0.24299999999999974
919,2025-12-12 09:51:46.320341+00:00,24.1,40.653,-0.10899999999999939
919,2025-12-12 09:51:46.320341+00:00,24.42,40.703,0.01666666666666809
919,2025-12-12 09:51:46.320341+00:00,24.46,40.743,0.01333333333333305
920,2025-12-12 09:52:06.809518+00:00,24.55,31.447,-3.098666666666668
920,2025-12-12 09:52:06.809518+00:00,24.4,30.07,-0.45899999999999963
920,2025-12-12 09:52:06.809518+00:00,24.43,29.578000000000003,-0.16399999999999912
920,2025-12-12 09:52:06.809518+00:00,25.78,29.549,-0.009666666666667822
921,2025-12-12 09:52:27.480240+00:00,25.11,30.136999999999997,0.19599999999999915
921,2025-12-12 09:52:27.480240+00:00,24.44,29.857,-0.09333333333333253
921,2025-12-12 09:52:27.480240+00:00,24.34,29.559,-0.09933333333333276
921,2025-12-12 09:52:27.480240+00:00,26.18,29.441,-0.03933333333333403
922,2025-12-12 09:52:37.975893+00:00,25.79,29.599,0.052666666666667084
922,2025-12-12 09:52:37.975893+00:00,24.58,29.365,-0.07800000000000058
922,2025-12-12 09:52:37.975893+00:00,24.54,29.712,0.1156666666666671
922,2025-12-12 09:52:37.975893+00:00,24.56,29.247,-0.15499999999999994
923,2025-12-12 09:52:58.670055+00:00,23.9,29.534000000000002,0.09566666666666752
923,2025-12-12 09:52:58.670055+00:00,23.83,29.534000000000002,0.0
923,2025-12-12 09:52:58.670055+00:00,24.44,29.454,-0.026666666666667282
923,2025-12-12 09:52:58.670055+00:00,24.66,29.265,-0.06300000000000001
924,2025-12-12 09:53:19.336375+00:00,25.55,29.555,0.09666666666666639
924,2025-12-12 09:53:19.336375+00:00,23.89,29.625,0.023333333333333428
924,2025-12-12 09:53:19.336375+00:00,24.31,29.383000000000003,-0.08066666666666578
924,2025-12-12 09:53:19.336375+00:00,24.64,29.348000000000003,-0.011666666666666714
925,2025-12-12 09:53:39.842753+00:00,24.03,29.596,0.08266666666666585
925,2025-12-12 09:53:39.842753+00:00,23.87,29.495,-0.033666666666666366
